Start,End,Name,Label
00:00:00.200,00:01:54.972,Покой,
00:02:03.856,00:02:45.824,Рассказ о себе,
00:02:47.590,00:03:38.161,Хобби,
00:04:15.055,00:04:25.158,Обман_1,0
00:04:28.260,00:04:44.160,Обман_2,0
00:04:47.409,00:04:53.196,Обман_3,0
00:04:56.369,00:05:06.957,Обман_4,0
00:05:09.400,00:05:43.537,Обман_5,0
00:05:48.131,00:05:51.134,Обман_6,1
00:05:55.357,00:06:01.001,Обман_7,1
00:06:05.160,00:06:11.952,Обман_8,1
00:06:14.679,00:06:23.875,Обман_9,0
00:06:28.608,00:06:42.001,Обман_10,0
00:06:47.695,00:06:52.347,Обман_11,0
00:06:54.553,00:06:57.731,Обман_12,0
00:07:01.271,00:07:07.850,Обман_13,1
00:07:12.011,00:07:16.175,Обман_14,1
00:07:20.920,00:07:25.585,Обман_15,1
00:07:36.829,00:07:40.200,Алкоголь_1,0
00:07:43.490,00:08:22.484,Алкоголь_2,0
00:08:25.071,00:08:37.725,Алкоголь_3,0
00:08:40.890,00:09:09.898,Алкоголь_4,0
00:09:13.499,00:09:36.377,Алкоголь_5,0
00:09:38.663,00:09:40.606,Алкоголь_6,0
00:09:42.571,00:09:44.684,Алкоголь_7,0
00:09:50.038,00:09:58.150,Алкоголь_8,0
00:10:01.114,00:10:16.541,Алкоголь_9,0
00:10:21.960,00:10:42.431,Алкоголь_10,0
00:10:49.585,00:11:05.887,Алкоголь_11,0
00:11:09.808,00:11:13.570,Алкоголь_12,0
00:11:23.327,00:11:34.617,Конфликт_1,0
00:11:47.465,00:11:50.133,Конфликт_2,0
00:11:52.227,00:12:02.733,Конфликт_3,0
00:12:04.945,00:12:11.648,Конфликт_4,0
00:12:15.812,00:12:26.687,Конфликт_5,0
00:12:29.126,00:12:33.338,Конфликт_6,1
00:12:36.204,00:12:39.426,Конфликт_7,1
00:12:41.843,00:12:44.643,Конфликт_8,1
00:12:49.033,00:13:02.929,Конфликт_9,0
00:13:07.126,00:13:22.133,Конфликт_10,0
00:13:24.564,00:13:35.718,Конфликт_11,0
00:13:38.196,00:13:42.447,Конфликт_12,0
00:13:48.540,00:13:53.705,Конфликт_13,1
00:13:56.452,00:14:01.744,Конфликт_14,1
00:14:06.012,00:14:57.408,Обратная связь,
