Start,End,Name,Label
00:00:02.200,00:01:56.972,Покой,
00:02:05.856,00:02:47.824,Рассказ о себе,
00:02:49.590,00:03:40.161,Хобби,
00:04:17.055,00:04:27.158,Обман_1,0
00:04:30.260,00:04:46.160,Обман_2,0
00:04:49.409,00:04:55.196,Обман_3,0
00:04:58.369,00:05:08.957,Обман_4,0
00:05:11.400,00:05:45.537,Обман_5,0
00:05:50.131,00:05:53.134,Обман_6,1
00:05:57.357,00:06:03.001,Обман_7,1
00:06:07.160,00:06:13.952,Обман_8,1
00:06:16.679,00:06:25.875,Обман_9,0
00:06:30.608,00:06:44.001,Обман_10,0
00:06:49.695,00:06:54.347,Обман_11,0
00:06:56.553,00:06:59.731,Обман_12,0
00:07:03.271,00:07:09.850,Обман_13,1
00:07:14.011,00:07:18.175,Обман_14,1
00:07:22.920,00:07:27.585,Обман_15,1
00:07:38.829,00:07:42.200,Алкоголь_1,0
00:07:45.490,00:08:24.484,Алкоголь_2,0
00:08:27.071,00:08:39.725,Алкоголь_3,0
00:08:42.890,00:09:11.898,Алкоголь_4,0
00:09:15.499,00:09:38.377,Алкоголь_5,0
00:09:40.663,00:09:42.606,Алкоголь_6,0
00:09:44.571,00:09:46.684,Алкоголь_7,0
00:09:52.038,00:10:00.150,Алкоголь_8,0
00:10:03.114,00:10:18.541,Алкоголь_9,0
00:10:23.960,00:10:44.431,Алкоголь_10,0
00:10:51.585,00:11:07.887,Алкоголь_11,0
00:11:11.808,00:11:15.570,Алкоголь_12,0
00:11:25.327,00:11:36.617,Конфликт_1,0
00:11:49.465,00:11:52.133,Конфликт_2,0
00:11:54.227,00:12:04.733,Конфликт_3,0
00:12:06.945,00:12:13.648,Конфликт_4,0
00:12:17.812,00:12:28.687,Конфликт_5,0
00:12:31.126,00:12:35.338,Конфликт_6,1
00:12:38.204,00:12:41.426,Конфликт_7,1
00:12:43.843,00:12:46.643,Конфликт_8,1
00:12:51.033,00:13:04.929,Конфликт_9,0
00:13:09.126,00:13:24.133,Конфликт_10,0
00:13:26.564,00:13:37.718,Конфликт_11,0
00:13:40.196,00:13:44.447,Конфликт_12,0
00:13:50.540,00:13:55.705,Конфликт_13,1
00:13:58.452,00:14:03.744,Конфликт_14,1
00:14:08.012,00:14:59.408,Обратная связь,
