Start,End,Name,Label
00:00:00.163,00:02:03.244,Покой,
00:02:15.914,00:03:01.245,Рассказ о себе,
00:03:04.296,00:03:49.404,Хобби,
00:03:58.367,00:04:13.238,Обман_1,0
00:04:15.797,00:04:17.428,Обман_2,0
00:04:21.397,00:04:24.693,Обман_3,0
00:04:27.840,00:04:36.236,Обман_4,0
00:04:38.440,00:04:49.916,Обман_5,0
00:04:53.585,00:04:56.617,Обман_6,1
00:05:01.254,00:05:05.670,Обман_7,1
00:05:08.519,00:05:12.879,Обман_8,1
00:05:17.439,00:05:29.524,Обман_9,0
00:05:33.228,00:05:46.073,Обман_10,0
00:05:52.546,00:05:58.067,Обман_11,0
00:05:59.595,00:06:07.488,Обман_12,0
00:06:11.555,00:06:17.987,Обман_13,1
00:06:22.235,00:06:25.860,Обман_14,1
00:06:29.631,00:06:33.976,Обман_15,1
00:06:42.939,00:06:48.874,Алкоголь_1,0
00:06:52.232,00:07:08.525,Алкоголь_2,0
00:07:11.347,00:07:17.524,Алкоголь_3,0
00:07:20.513,00:07:31.165,Алкоголь_4,0
00:07:33.169,00:07:37.939,Алкоголь_5,0
00:07:40.244,00:07:41.816,Алкоголь_6,0
00:07:43.644,00:07:45.442,Алкоголь_7,0
00:07:50.544,00:07:53.823,Алкоголь_8,0
00:07:56.961,00:08:11.534,Алкоголь_9,0
00:08:18.572,00:08:23.780,Алкоголь_10,0
00:08:30.955,00:08:35.474,Алкоголь_11,11
00:08:38.743,00:08:43.143,Алкоголь_12,0
00:08:51.118,00:09:07.737,Конфликт_1,0
00:09:12.886,00:09:18.671,Конфликт_2,0
00:09:21.475,00:09:29.359,Конфликт_3,0
00:09:32.370,00:09:37.792,Конфликт_4,0
00:09:40.514,00:09:55.137,Конфликт_5,0
00:09:57.388,00:10:01.484,Конфликт_6,1
00:10:04.524,00:10:06.770,Конфликт_7,1
00:10:09.723,00:10:13.717,Конфликт_8,1
00:10:17.672,00:10:35.510,Конфликт_9,0
00:10:40.088,00:10:51.054,Конфликт_10,0
00:10:54.777,00:11:11.975,Конфликт_11,0
00:11:14.453,00:11:19.603,Конфликт_12,0
00:11:25.016,00:11:27.957,Конфликт_13,1
00:11:30.635,00:11:33.752,Конфликт_14,1
00:11:38.328,00:13:03.262,Обратная связь,
