Start,End,Name,Label
00:00:11.876,00:02:04.765,Покой,
00:02:17.230,00:02:56.987,Рассказ о себе,
00:03:06.689,00:05:50.945,Хобби,
00:06:03.140,00:06:31.769,Обман_1,0
00:06:36.571,00:07:22.370,Обман_2,0
00:07:26.990,00:07:49.498,Обман_3,0
00:07:53.913,00:08:39.623,Обман_4,0
00:08:41.860,00:09:36.655,Обман_5,0
00:09:41.832,00:09:54.439,Обман_6,1
00:09:58.868,00:10:12.847,Обман_7,1
00:10:17.356,00:10:37.108,Обман_8,0
00:10:42.978,00:11:34.970,Обман_9,0
00:11:39.286,00:12:17.629,Обман_10,0
00:12:22.327,00:12:27.998,Обман_11,0
00:12:31.496,00:12:48.721,Обман_12,0
00:12:52.369,00:13:18.211,Обман_13,1
00:13:22.962,00:13:40.814,Обман_14,1
00:13:43.723,00:14:01.164,Обман_15,1
00:14:13.225,00:14:36.993,Алкоголь_1,0
00:14:39.746,00:15:14.124,Алкоголь_2,0
00:15:18.123,00:15:54.062,Алкоголь_3,0
00:15:58.346,00:16:33.518,Алкоголь_4,0
00:16:36.268,00:16:55.122,Алкоголь_5,0
00:16:57.457,00:16:59.876,Алкоголь_6,0
00:17:02.320,00:17:04.354,Алкоголь_7,0
00:17:11.435,00:17:28.874,Алкоголь_8,0
00:17:33.318,00:18:02.593,Алкоголь_9,0
00:18:07.897,00:18:21.932,Алкоголь_10,0
00:18:30.132,00:19:02.776,Алкоголь_11,0
00:19:06.272,00:19:20.202,Алкоголь_12,0
00:19:27.689,00:19:50.096,Конфликт_1,0
00:19:54.580,00:20:11.878,Конфликт_2,0
00:20:14.914,00:20:40.828,Конфликт_3,0
00:20:43.448,00:21:06.390,Конфликт_4,0
00:21:08.504,00:21:28.388,Конфликт_5,0
00:21:30.971,00:21:57.694,Конфликт_6,1
00:22:00.417,00:22:06.656,Конфликт_7,1
00:22:08.164,00:22:12.773,Конфликт_8,1
00:22:14.945,00:22:31.833,Конфликт_9,0
00:22:35.802,00:22:47.941,Конфликт_10,0
00:22:49.996,00:23:22.548,Конфликт_11,0
00:23:24.793,00:23:41.023,Конфликт_12,0
00:23:44.908,00:23:56.822,Конфликт_13,1
00:23:59.300,00:24:08.858,Конфликт_14,1
00:24:16.209,00:24:47.677,Обратная связь,
