Start,End,Name,Label
00:00:15.876,00:02:08.765,Покой,
00:02:21.230,00:03:00.987,Рассказ о себе,
00:03:10.689,00:05:54.945,Хобби,
00:06:07.140,00:06:35.769,Обман_1,0
00:06:40.571,00:07:26.370,Обман_2,0
00:07:30.990,00:07:53.498,Обман_3,0
00:07:57.913,00:08:43.623,Обман_4,0
00:08:45.860,00:09:40.655,Обман_5,0
00:09:45.832,00:09:58.439,Обман_6,1
00:10:02.868,00:10:16.847,Обман_7,1
00:10:21.356,00:10:41.108,Обман_8,0
00:10:46.978,00:11:38.970,Обман_9,0
00:11:43.286,00:12:21.629,Обман_10,0
00:12:26.327,00:12:31.998,Обман_11,0
00:12:35.496,00:12:52.721,Обман_12,0
00:12:56.369,00:13:22.211,Обман_13,1
00:13:26.962,00:13:44.814,Обман_14,1
00:13:47.723,00:14:05.164,Обман_15,1
00:14:17.225,00:14:40.993,Алкоголь_1,0
00:14:43.746,00:15:18.124,Алкоголь_2,0
00:15:22.123,00:15:58.062,Алкоголь_3,0
00:16:02.346,00:16:37.518,Алкоголь_4,0
00:16:40.268,00:16:59.122,Алкоголь_5,0
00:17:01.457,00:17:03.876,Алкоголь_6,0
00:17:06.320,00:17:08.354,Алкоголь_7,0
00:17:15.435,00:17:32.874,Алкоголь_8,0
00:17:37.318,00:18:06.593,Алкоголь_9,0
00:18:11.897,00:18:25.932,Алкоголь_10,0
00:18:34.132,00:19:06.776,Алкоголь_11,0
00:19:10.272,00:19:24.202,Алкоголь_12,0
00:19:31.689,00:19:54.096,Конфликт_1,0
00:19:58.580,00:20:15.878,Конфликт_2,0
00:20:18.914,00:20:44.828,Конфликт_3,0
00:20:47.448,00:21:10.390,Конфликт_4,0
00:21:12.504,00:21:32.388,Конфликт_5,0
00:21:34.971,00:22:01.694,Конфликт_6,1
00:22:04.417,00:22:10.656,Конфликт_7,1
00:22:12.164,00:22:16.773,Конфликт_8,1
00:22:18.945,00:22:35.833,Конфликт_9,0
00:22:39.802,00:22:51.941,Конфликт_10,0
00:22:53.996,00:23:26.548,Конфликт_11,0
00:23:28.793,00:23:45.023,Конфликт_12,0
00:23:48.908,00:24:00.822,Конфликт_13,1
00:24:03.300,00:24:12.858,Конфликт_14,1
00:24:20.209,00:24:51.677,Обратная связь,
