Start,End,Name,Label
00:00:07.345,00:02:12.342,Покой,
00:02:26.921,00:03:44.446,Рассказ о себе,
00:03:47.302,00:05:25.733,Хобби,
00:05:36.383,00:05:47.963,Обман_1,0
00:05:51.054,00:06:11.007,Обман_2,0
00:06:15.818,00:06:19.626,Обман_3,0
00:06:22.983,00:06:40.074,Обман_4,0
00:06:43.681,00:07:09.232,Обман_5,0
00:07:12.851,00:07:14.606,Обман_6,1
00:07:18.130,00:07:20.464,Обман_7,1
00:07:23.036,00:07:26.016,Обман_8,1
00:07:29.654,00:07:37.287,Обман_9,0
00:07:41.484,00:08:01.537,Обман_11,0
00:08:05.484,00:08:14.985,Обман_11,0
00:08:16.562,00:08:25.874,Обман_12,0
00:08:31.098,00:08:33.070,Обман_13,1
00:08:37.158,00:08:38.748,Обман_14,1
00:08:43.100,00:08:45.790,Обман_15,1
00:08:56.555,00:09:01.518,Алкоголь_1,0
00:09:04.666,00:09:45.934,Алкоголь_2,0
00:09:49.699,00:10:12.068,Алкоголь_3,0
00:10:15.851,00:10:26.117,Алкоголь_4,0
00:10:28.542,00:10:42.403,Алкоголь_5,0
00:10:45.130,00:10:46.908,Алкоголь_6,0
00:10:48.800,00:10:50.503,Алкоголь_7,0
00:10:55.897,00:11:12.859,Алкоголь_8,0
00:11:16.570,00:11:33.103,Алкоголь_9,0
00:11:39.048,00:11:53.394,Алкоголь_10,0
00:12:01.263,00:12:08.165,Алкоголь_11,0
00:12:11.919,00:12:20.322,Алкоголь_12,0
00:12:27.605,00:12:41.121,Конфликт_1,0
00:12:45.378,00:12:48.577,Конфликт_2,0
00:12:51.180,00:13:06.669,Конфликт_3,0
00:13:10.407,00:13:16.919,Конфликт_4,0
00:13:19.087,00:13:26.531,Конфликт_5,0
00:13:29.346,00:13:31.638,Конфликт_6,1
00:13:33.928,00:13:37.974,Конфликт_7,1
00:13:40.766,00:13:44.151,Конфликт_8,1
00:13:48.734,00:14:17.197,Конфликт_9,0
00:14:21.172,00:14:29.870,Конфликт_10,0
00:14:33.039,00:15:07.563,Конфликт_11,0
00:15:09.947,00:15:13.032,Конфликт_12,12
00:15:18.338,00:15:21.449,Конфликт_13,1
00:15:24.777,00:15:31.524,Конфликт_14,1
00:15:40.079,00:16:34.257,Обратная связь,
